"holder","holder_class","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024"
"Timna Valley Resources Limited","organization","gemstones","3","0","1417","Iron Ore/Gold/Copper","0","1"
"Nyengo Resources Limited","organization","critical_battery","3","0","174","Iron Ore/Fluorine-Fluorite/Coal","0","0"
"Giemme Zambia Limited","organization","gemstones","3","0","314","Silver/Quartz/Silica","1","3"
"Rajeshwari Resources Limited","organization","critical_battery","3","0","1471","Lead/Manganese/Zinc","2","2"
"Vitumbo Investments Limited","organization","gemstones","3","0","1381","Gold/Copper/Rare EarthsElements","0","0"
"Clarma Resources Limited","organization","gemstones","3","0","1036","Cobalt/Gold/Iron Ore","2","0"
"Nyolelo Investments Limited","organization","industrial_minerals","3","0","1539","Limestone (General)/Feldspar/Clay (General)","1","0"
"Sidhi Vinayak Base Metal Limited","organization","critical_battery","3","0","1106","Manganese","0","0"
"Chazychilz Investments Limited","organization","gemstones","3","0","1043","Gold/Iron Ore/Copper","2","0"
"Gold Lookers Mining Limited","organization","critical_battery","3","0","1053","Manganese/Tin/Iron Ore","1","0"
"Divine Mimuvelyn Mining and Exploration Company  Limited","organization","critical_battery","3","0","1006","Lead/Manganese/Silver","3","0"
"Brimamwa Mining and Explorations Limited","organization","critical_battery","3","0","1592","Gold/Lead/Manganese","1","3"
"Garuda Resources Limited","organization","gemstones","3","0","159","Manganese/Iron Ore/Quartz","3","0"
"Red Copper Resources Limited","organization","critical_battery","3","0","1255","Silver/Gold/Copper","2","2"
"Nachibila Resources Limited","organization","gemstones","3","0","299","Gold/Tourmaline/Cobalt","1","0"
"AMS Commodities Limited","organization","critical_battery","3","0","1160","Copper/Silver/Zinc","1","1"
"Minol Insights Investments Limited","organization","gemstones","3","0","1531","Emerald/Diamond","1","1"
"Inchkwakwa Enterprises Limited","organization","gemstones","3","0","439","Iron Ore/Malachite/Nickel","1","0"
"Xtract Mines and Mineral Resources Limited","organization","critical_battery","3","0","1247","Manganese/Gypsum/Anhydrite","1","0"
"Zohara Mining Limited","organization","critical_battery","3","0","1237","Iron Ore/Manganese/Gold","0","0"
"A.Argente and Company Limited","organization","critical_battery","3","0","1318","Iron Ore/Manganese/Gold","1","0"
"Chalemba Investments Limited","organization","gemstones","3","0","1219","Iron Ore/Lithium/Copper","2","0"
"Trustnet Consultancy Limited","organization","gemstones","2","0","3962","Iron Ore/Manganese/Gold","1","0"
"KLR Drilling Technologies Limited","organization","critical_battery","2","0","3084","Nickel/Manganese/Zinc","0","0"
"Copperbelt University Investments Holdings Limited","organization","critical_battery","2","0","8242","Manganese","0","2"
"CQL Investments Zambia Limited","organization","gemstones","2","0","7165","Copper/Cobalt/Coal","0","0"
"Monoliths Mining Group Limited","organization","gemstones","2","0","9432","Iron Ore/Gold/Zinc","0","0"
"Busanya Mining Limited","organization","gemstones","2","0","309","Manganese/Copper/Cobalt","0","0"
"Mojo Commodities Limited","organization","gold","2","0","497","Gold/Copper/Iron Ore","2","0"
"Edenvale Investments Limited","organization","gemstones","2","0","7066","Quartz/Zinc/Gold","0","0"
"RockModeller Company Limited","organization","gemstones","2","0","7907","Gold/Copper/Cobalt","0","0"
"JOUVENCE PETROLEUM ZAMBIA LIMITED","organization","gemstones","2","0","10603","Gold/Tourmaline/Manganese","0","0"
"TUGWASHANE MINING LIMITED","organization","critical_battery","2","0","12145","Copper/Coal/Zinc","0","0"
"Northern Salt Limited","organization","gemstones","2","0","596","Lead/Iron Ore/Granite","2","0"
"Mother Land Resources Limited","organization","critical_battery","2","0","1723","Granite/Limestone (General)/Nickel","1","0"
"Freshstart Emerald Mining Limited","organization","gemstones","2","0","1820","Limestone (General)/Anhydrite/Tourmaline","1","1"
"Kounnas Zambia Limited","organization","critical_battery","2","0","3876","Nickel/Silver/Gold","1","0"
"Josmas Enterprises Limited","organization","gemstones","2","0","10293","Copper/Coal/Beryllium","1","0"
"Morton Enterprises Limited","organization","critical_battery","2","0","8835","Manganese/Zinc/Copper","0","0"
"TRISHUL MINES AND MINERALS LIMITED","organization","gemstones","2","0","1508","Malachite/Manganese/Zinc","0","0"
"Mwakabanga Investments","organization","gemstones","2","0","507","Gold/Lead/Nickel","2","0"
"Mountlisa Minerals Limited","organization","gemstones","2","0","239","Iron Ore/Lead/Gypsum","0","0"
"Freshpoint Mining Enterprises & General Suppliers Limited","organization","gemstones","2","0","1300","Gold/Copper/Amethyst","2","0"
"Freeway Minerals Limited","organization","gemstones","2","0","866","Copper/Cobalt/Tourmaline","1","0"
"Mobile Shaft Metals Limited","organization","critical_battery","2","0","1661","Iron Ore/Anhydrite/Manganese","2","1"
"Bomal Mining & Agriculture Enterprises Limited","organization","gemstones","2","0","1369","Tin/Tourmaline/Tungsten","0","0"
"Industrial Resources Limited","organization","critical_battery","2","0","2790","Malachite/Silver/Gold","0","0"
"BLS Mining Limited","organization","critical_battery","2","0","1649","Lead/Manganese/Zinc","0","0"
"Mirene Investments Limited","organization","gemstones","2","0","510","Quartz/Garnet","0","0"
"USHA INVESTMENT LIMITED","organization","gemstones","2","0","7366","Emerald/Quartz/Rare EarthsElements","0","0"
"Ushi Logistics Limited","organization","gemstones","2","0","617","Platinum/Quartz/Niobium (Columbium)","2","0"
"Ecomine Exploration Company Limited","organization","gemstones","2","0","992","Copper/Iron Ore/Tantalum","0","0"
"Vatech Limited","organization","critical_battery","2","0","900","Malachite/Limestone (General)/Nickel","0","0"
"Ilola Investments Limited","organization","critical_battery","2","0","4807","Manganese/Limestone (General)/Zinc","1","0"
"Geofreight Clearing, Forwarding and Trucking Limited","organization","critical_battery","2","0","2415","Manganese/Silver/Tin","0","0"
"Mineworth Investments Limited","organization","critical_battery","2","0","1099","Iron Ore/Nickel/Zinc","0","0"
"Mingi Investments Holdings Limited","organization","critical_battery","2","0","2714","Copper/Talc-Soapstone/Gold","1","1"
"Lemba Resources Limited","organization","gold","2","0","1334","Gold/Cobalt/Iron Ore","2","0"
